store_id,uptime_last_hour,uptime_last_day,update_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
6477385933016777519,60,22,163,0,2,5
6770905440909037761,0,0,0,60,24,168
6622953410727564906,60,24,168,0,0,0
7815590034868021689,60,23,161,0,1,7
5571374115098045701,0,0,20,60,24,148
7641174548841299939,0,0,0,60,24,168
6123134674757720604,60,24,168,0,0,0
3462642174893941130,60,24,168,0,0,0
245254723147851575,60,24,168,0,0,0
7023326669299059067,60,24,168,0,0,0
1541962396435346942,60,24,168,0,0,0
5277571766080786770,0,0,44,60,24,124
7722193507131423111,60,24,168,0,0,0
2234967790715613160,60,24,168,0,0,0
4235754094471379434,0,0,0,60,24,168
7301334353744807325,60,24,168,0,0,0
6973603538783949694,60,24,168,0,0,0
8199642993458117137,60,23,164,0,1,4
1446436959753689503,60,24,168,0,0,0
5562269655464152848,0,0,0,60,24,168
4972797424673499940,60,24,168,0,0,0
1533019872267168046,0,0,0,60,24,168
5048390595707248268,60,24,168,0,0,0
5598678635804366624,0,0,27,60,24,141
6817327931256412969,60,23,107,0,1,61
5522381257804430842,0,13,135,60,11,33
2974109706633403181,0,0,0,60,24,168
7101354114092159494,0,0,0,60,24,168
2354823375850664976,60,24,168,0,0,0
4136120523067181734,60,24,168,0,0,0
3572493697893616119,60,24,168,0,0,0
7582450789698919821,0,0,0,60,24,168
6442930326928534904,60,24,168,0,0,0
8024040556936961492,60,24,168,0,0,0
8807660731712526628,60,24,168,0,0,0
7728866606892121692,0,0,168,0,0,0
8062773234378262957,60,18,96,0,6,72
3685497449056565539,60,24,168,0,0,0
4852387462595583610,60,24,168,0,0,0
6059910840054253232,0,0,0,60,24,168
6931132712777138584,60,24,157,0,0,11
1406152021548527918,0,18,113,60,6,55
100927970158485910,60,24,168,0,0,0
9195450510899676251,60,24,168,0,0,0
2544654206029195412,0,0,0,60,24,168
1050423000865414301,60,24,168,0,0,0
5631063694141032107,0,0,161,0,0,7
7062670497148225362,60,24,168,0,0,0
4461540359342152459,60,24,168,0,0,0
5481601781189253393,60,14,132,0,10,36
8658813216801211519,0,0,20,60,24,148
1624083741059109051,0,0,0,60,24,168
8377465688456570187,60,24,168,0,0,0
3013716713811770346,0,0,0,60,24,168
4622405964186936660,60,24,168,0,0,0
5437996279670629529,60,24,168,0,0,0
3638987518162252748,60,24,168,0,0,0
309081616338296,60,24,168,0,0,0
191331733720214713,60,24,168,0,0,0
3666097341271899320,60,24,76,0,0,92
813383464952749649,60,24,168,0,0,0
7092684811376803336,60,24,168,0,0,0
6928012242471193801,60,24,168,0,0,0
6691502530538219190,60,24,168,0,0,0
